tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,304,D,01/09/2021,WS00231
Srg,WGO_JG,305,P,01/09/2021,WS00232
Srg,WGO_JG,305,C,01/09/2021,WS00233
Srg,WGO_JG,305,D,01/09/2021,WS00234
Srg,WGO_JG,306,D,01/09/2021,WS00235
Srg,WGO_JG,306,C,01/09/2021,WS00236
Srg,WGO_JG,306,P,01/09/2021,WS00237
Srg,WGO_JG,401,P,01/09/2021,WS00238
Srg,WGO_JG,401,D,01/09/2021,WS00239
Srg,WGO_JG,401,C,01/09/2021,WS00240
Srg,WGO_JG,402,D,01/09/2021,WS00241
Srg,WGO_JG,402,P,01/09/2021,WS00242
Srg,WGO_JG,402,C,01/09/2021,WS00243
Srg,WGO_JG,403,P,01/09/2021,WS00244
Srg,WGO_JG,403,D,01/09/2021,WS00245
Srg,WGO_JG,403,C,01/09/2021,WS00246
Srg,WGO_JG,404,D,01/09/2021,WS00247
Srg,WGO_JG,404,C,01/09/2021,WS00248
Srg,WGO_JG,404,P,01/09/2021,WS00249
Srg,WGO_JG,405,D,01/09/2021,WS00250
Srg,WGO_JG,405,P,01/09/2021,WS00251
Srg,WGO_JG,405,C,01/09/2021,WS00252
Srg,WGO_JG,406,P,01/09/2021,WS00253
Srg,WGO_JG,406,D,01/09/2021,WS00254
Srg,WGO_JG,406,C,01/09/2021,WS00255
Srg,WGO_JG,101,P,08/09/2021,WS00256
Srg,WGO_JG,101,D,08/09/2021,WS00257
Srg,WGO_JG,101,C,08/09/2021,WS00258
Srg,WGO_JG,102,P,08/09/2021,WS00259
Srg,WGO_JG,102,D,08/09/2021,WS00260
Srg,WGO_JG,102,C,08/09/2021,WS00261
Srg,WGO_JG,103,C,08/09/2021,WS00262
Srg,WGO_JG,103,D,08/09/2021,WS00263
Srg,WGO_JG,103,P,08/09/2021,WS00264
Srg,WGO_JG,104,P,08/09/2021,WS00265
Srg,WGO_JG,104,C,08/09/2021,WS00266
Srg,WGO_JG,104,D,08/09/2021,WS00267
Srg,WGO_JG,105,P,08/09/2021,WS00268
Srg,WGO_JG,105,C,08/09/2021,WS00269
Srg,WGO_JG,105,D,08/09/2021,WS00270
Srg,WGO_JG,106,P,08/09/2021,WS00271
Srg,WGO_JG,106,P,08/09/2021,WS00272
Srg,WGO_JG,106,C,08/09/2021,WS00273
Srg,WGO_JG,201,P,08/09/2021,WS00274
Srg,WGO_JG,201,C,08/09/2021,WS00275
Srg,WGO_JG,201,D,08/09/2021,WS00276
Srg,WGO_JG,202,C,08/09/2021,WS00277
Srg,WGO_JG,202,D,08/09/2021,WS00278
Srg,WGO_JG,202,D,08/09/2021,WS00279
Srg,WGO_JG,203,P,08/09/2021,WS00280
Srg,WGO_JG,203,C,08/09/2021,WS00281
Srg,WGO_JG,203,D,08/09/2021,WS00282
Srg,WGO_JG,204,C,08/09/2021,WS00283
Srg,WGO_JG,204,D,08/09/2021,WS00284
Srg,WGO_JG,204,P,08/09/2021,WS00285
Srg,WGO_JG,205,C,08/09/2021,WS00286
Srg,WGO_JG,205,D,08/09/2021,WS00287
Srg,WGO_JG,205,P,08/09/2021,WS00288
Srg,WGO_JG,206,P,08/09/2021,WS00289
Srg,WGO_JG,206,D,08/09/2021,WS00290
Srg,WGO_JG,206,C,08/09/2021,WS00291
Srg,WGO_JG,206,D,08/09/2021,WS00292
Srg,WGO_JG,301,P,08/09/2021,WS00293
Srg,WGO_JG,301,C,08/09/2021,WS00294
Srg,WGO_JG,301,D,08/09/2021,WS00295
Srg,WGO_JG,302,D,08/09/2021,WS00296
Srg,WGO_JG,302,P,08/09/2021,WS00297
Srg,WGO_JG,302,C,08/09/2021,WS00298
Srg,WGO_JG,303,C,08/09/2021,WS00299
Srg,WGO_JG,303,P,08/09/2021,WS00300
Srg,WGO_JG,303,D,08/09/2021,WS00301
Srg,WGO_JG,304,D,08/09/2021,WS00302
Srg,WGO_JG,304,C,08/09/2021,WS00303
Srg,WGO_JG,304,P,08/09/2021,WS00304
Srg,WGO_JG,305,C,08/09/2021,WS00305
Srg,WGO_JG,305,P,08/09/2021,WS00306
Srg,WGO_JG,305,D,08/09/2021,WS00307
Srg,WGO_JG,306,C,08/09/2021,WS00308
Srg,WGO_JG,306,P,08/09/2021,WS00309
Srg,WGO_JG,401,D,08/09/2021,WS00310
Srg,WGO_JG,401,P,08/09/2021,WS00311
Srg,WGO_JG,401,C,08/09/2021,WS00312
Srg,WGO_JG,402,C,08/09/2021,WS00313
Srg,WGO_JG,402,P,08/09/2021,WS00314
Srg,WGO_JG,402,D,08/09/2021,WS00315
Srg,WGO_JG,403,P,08/09/2021,WS00316
Srg,WGO_JG,403,D,08/09/2021,WS00317
Srg,WGO_JG,403,C,08/09/2021,WS00318
Srg,WGO_JG,404,P,08/09/2021,WS00319
Srg,WGO_JG,404,C,08/09/2021,WS00320
Srg,WGO_JG,404,D,08/09/2021,WS00321
