tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Srg,WGO_JG,106, ,8/9/2021,P,WS00271
Srg,WGO_JG,106, ,8/9/2021,P,WS00272
Srg,WGO_JG,106, ,8/9/2021,C,WS00273
Srg,WGO_JG,201, ,8/9/2021,P,WS00274
Srg,WGO_JG,201, ,8/9/2021,C,WS00275
Srg,WGO_JG,201, ,8/9/2021,D,WS00276
Srg,WGO_JG,202, ,8/9/2021,C,WS00277
Srg,WGO_JG,202, ,8/9/2021,D,WS00278
Srg,WGO_JG,202, ,8/9/2021,D,WS00279
Srg,WGO_JG,203, ,8/9/2021,P,WS00280
Srg,WGO_JG,203, ,8/9/2021,C,WS00281
Srg,WGO_JG,203, ,8/9/2021,D,WS00282
Srg,WGO_JG,204, ,8/9/2021,C,WS00283
Srg,WGO_JG,204, ,8/9/2021,D,WS00284
Srg,WGO_JG,204, ,8/9/2021,P,WS00285
Srg,WGO_JG,205, ,8/9/2021,C,WS00286
Srg,WGO_JG,205, ,8/9/2021,D,WS00287
Srg,WGO_JG,205, ,8/9/2021,P,WS00288
Srg,WGO_JG,206, ,8/9/2021,P,WS00289
Srg,WGO_JG,206, ,8/9/2021,D,WS00290
Srg,WGO_JG,206, ,8/9/2021,C,WS00291
Srg,WGO_JG,206, ,8/9/2021,D,WS00292
Srg,WGO_JG,301, ,8/9/2021,P,WS00293
Srg,WGO_JG,301, ,8/9/2021,C,WS00294
Srg,WGO_JG,301, ,8/9/2021,D,WS00295
Srg,WGO_JG,302, ,8/9/2021,D,WS00296
Srg,WGO_JG,302, ,8/9/2021,P,WS00297
Srg,WGO_JG,302, ,8/9/2021,C,WS00298
Srg,WGO_JG,303, ,8/9/2021,C,WS00299
Srg,WGO_JG,303, ,8/9/2021,P,WS00300
Srg,WGO_JG,303, ,8/9/2021,D,WS00301
Srg,WGO_JG,304, ,8/9/2021,D,WS00302
Srg,WGO_JG,304, ,8/9/2021,C,WS00303
Srg,WGO_JG,304, ,8/9/2021,P,WS00304
Srg,WGO_JG,305, ,8/9/2021,C,WS00305
Srg,WGO_JG,305, ,8/9/2021,P,WS00306
Srg,WGO_JG,305, ,8/9/2021,D,WS00307
Srg,WGO_JG,306, ,8/9/2021,C,WS00308
Srg,WGO_JG,306, ,8/9/2021,P,WS00309
Srg,WGO_JG,401, ,8/9/2021,D,WS00310
Srg,WGO_JG,401, ,8/9/2021,P,WS00311
Srg,WGO_JG,401, ,8/9/2021,C,WS00312
Srg,WGO_JG,402, ,8/9/2021,C,WS00313
Srg,WGO_JG,402, ,8/9/2021,P,WS00314
Srg,WGO_JG,402, ,8/9/2021,D,WS00315
Srg,WGO_JG,403, ,8/9/2021,P,WS00316
Srg,WGO_JG,403, ,8/9/2021,D,WS00317
Srg,WGO_JG,403, ,8/9/2021,C,WS00318
Srg,WGO_JG,404, ,8/9/2021,P,WS00319
Srg,WGO_JG,404, ,8/9/2021,C,WS00320
Srg,WGO_JG,404, ,8/9/2021,D,WS00321
Srg,WGO_JG,405, ,8/9/2021,P,WS00322
Srg,WGO_JG,405, ,8/9/2021,C,WS00323
Srg,WGO_JG,405, ,8/9/2021,D,WS00324
Srg,WGO_JG,406, ,8/9/2021,C,WS00325
Srg,WGO_JG,406, ,8/9/2021,P,WS00326
Srg,WGO_JG,406, ,8/9/2021,D,WS00327
Srg,WGO_JG,101, ,10/9/2021,P,WS00328
Srg,WGO_JG,101, ,10/9/2021,C,WS00329
Srg,WGO_JG,101, ,10/9/2021,D,WS00330
Srg,WGO_JG,102, ,10/9/2021,C,WS00331
Srg,WGO_JG,102, ,10/9/2021,D,WS00332
Srg,WGO_JG,102, ,10/9/2021,P,WS00333
Srg,WGO_JG,103, ,10/9/2021,D,WS00334
Srg,WGO_JG,103, ,10/9/2021,P,WS00335
Srg,WGO_JG,103, ,10/9/2021,C,WS00336
Srg,WGO_JG,104, ,10/9/2021,C,WS00337
Srg,WGO_JG,104, ,10/9/2021,P,WS00338
Srg,WGO_JG,104, ,10/9/2021,D,WS00339
Srg,WGO_JG,105, ,10/9/2021,C,WS00340
Srg,WGO_JG,105, ,10/9/2021,P,WS00341
Srg,WGO_JG,105, ,10/9/2021,D,WS00342
Srg,WGO_JG,106, ,10/9/2021,P,WS00343
Srg,WGO_JG,106, ,10/9/2021,C,WS00344
Srg,WGO_JG,106, ,10/9/2021,D,WS00345
Srg,WGO_JG,201, ,10/9/2021,C,WS00346
Srg,WGO_JG,201, ,10/9/2021,D,WS00347
Srg,WGO_JG,201, ,10/9/2021,P,WS00348
Srg,WGO_JG,202, ,10/9/2021,P,WS00349
Srg,WGO_JG,202, ,10/9/2021,D,WS00350
Srg,WGO_JG,202, ,10/9/2021,C,WS00351
Srg,WGO_JG,203, ,10/9/2021,P,WS00352
Srg,WGO_JG,203, ,10/9/2021,C,WS00353
Srg,WGO_JG,203, ,10/9/2021,D,WS00354
Srg,WGO_JG,204, ,10/9/2021,P,WS00355
Srg,WGO_JG,204, ,10/9/2021,D,WS00356
Srg,WGO_JG,204, ,10/9/2021,C,WS00357
Srg,WGO_JG,205, ,10/9/2021,C,WS00358
Srg,WGO_JG,205, ,10/9/2021,D,WS00359
Srg,WGO_JG,205, ,10/9/2021,P,WS00360
Srg,WGO_JG,206, ,10/9/2021,D,WS00361
Srg,WGO_JG,206, ,10/9/2021,C,WS00362
Srg,WGO_JG,206, ,10/9/2021,P,WS00363
Srg,WGO_JG,301, ,10/9/2021,P,WS00364
Srg,WGO_JG,301, ,10/9/2021,C,WS00365
Srg,WGO_JG,301, ,10/9/2021,D,WS00366
Srg,WGO_JG,302, ,10/9/2021,P,WS00367
Srg,WGO_JG,302, ,10/9/2021,C,WS00368
Srg,WGO_JG,302, ,10/9/2021,D,WS00369
Srg,WGO_JG,303, ,10/9/2021,D,WS00370
Srg,WGO_JG,303, ,10/9/2021,P,WS00371
Srg,WGO_JG,303, ,10/9/2021,C,WS00372
Srg,WGO_JG,304, ,10/9/2021,C,WS00373
Srg,WGO_JG,304, ,10/9/2021,P,WS00374
Srg,WGO_JG,304, ,10/9/2021,D,WS00375
Srg,WGO_JG,305, ,10/9/2021,C,WS00376
Srg,WGO_JG,305, ,10/9/2021,D,WS00377
Srg,WGO_JG,305, ,10/9/2021,P,WS00378
Srg,WGO_JG,306, ,10/9/2021,C,WS00379
Srg,WGO_JG,306, ,10/9/2021,P,WS00380
Srg,WGO_JG,306, ,10/9/2021,D,WS00381
Srg,WGO_JG,401, ,10/9/2021,P,WS00382
Srg,WGO_JG,401, ,10/9/2021,C,WS00383
Srg,WGO_JG,401, ,10/9/2021,D,WS00384
Srg,WGO_JG,402, ,10/9/2021,C,WS00385
Srg,WGO_JG,402, ,10/9/2021,D,WS00386
Srg,WGO_JG,402, ,10/9/2021,P,WS00387
Srg,WGO_JG,403, ,10/9/2021,C,WS00388
Srg,WGO_JG,403, ,10/9/2021,D,WS00389
Srg,WGO_JG,403, ,10/9/2021,P,WS00390
Srg,WGO_JG,404, ,10/9/2021,P,WS00391
Srg,WGO_JG,404, ,10/9/2021,D,WS00392
Srg,WGO_JG,404, ,10/9/2021,C,WS00393
Srg,WGO_JG,405, ,10/9/2021,C,WS00394
Srg,WGO_JG,405, ,10/9/2021,D,WS00395
Srg,WGO_JG,405, ,10/9/2021,P,WS00396
Srg,WGO_JG,406, ,10/9/2021,C,WS00397
Srg,WGO_JG,406, ,10/9/2021,P,WS00398
